,precision
0,0.7758620689655172
1,0.9097744360902256
2,0.75
3,0.9
4,0.7368421052631579
5,0.8064516129032258
6,1.0
7,1.0
8,0.7719298245614035
9,0.8148148148148148
,recall
0,0.8181818181818182
1,0.968
2,0.4
3,0.6
4,0.56
5,0.9090909090909091
6,0.26666666666666666
7,1.0
8,0.88
9,0.88
,0,1,2,3,4,5,6,7,8,9
0,45,3,1,0,0,2,0,0,1,3
1,2,121,0,1,0,1,0,0,0,0
2,0,0,6,0,0,1,0,0,7,1
3,2,2,0,9,1,1,0,0,0,0
4,4,1,0,0,28,2,0,0,3,12
5,0,0,0,0,1,50,0,0,0,4
6,2,5,1,0,1,0,4,0,1,1
7,0,0,0,0,0,0,0,15,0,0
8,1,1,0,0,0,0,0,0,44,4
9,2,0,0,0,7,5,0,0,1,110
